"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202107","공항철도 1호선","인천공항1터미널","0","0","836","2213","1436","5464","3425","11262","5506","17075","4387","4682","1890","5738","3013","7076","3434","9137","4518","6243","5417","6270","8765","5866","8140","4828","12634","7204","16385","3300","6797","2023","5114","2803","5055","2005","3242","1048","661","690","7","347","0","0","0","0","0","0","20210803"
"202107","공항철도 1호선","인천공항2터미널","1","0","1048","1249","1253","4280","2168","8039","3431","9022","3113","2871","1159","3098","1437","5060","1691","5467","2524","3228","3663","3796","6865","3325","6634","3315","9284","4051","10139","1323","4253","770","2694","894","2326","1192","1101","522","284","237","1","226","0","0","0","0","0","0","20210803"
"202106","공항철도 1호선","인천공항1터미널","0","0","550","2063","1346","5196","3199","11269","5129","17532","4292","4954","1658","5436","2752","6531","2840","7961","3905","5006","4292","4799","7275","4726","6380","4510","11887","6800","15523","3155","6273","1807","4891","2580","4545","1810","2888","1096","674","758","6","389","0","0","0","0","0","0","20210703"
"202106","공항철도 1호선","인천공항2터미널","0","0","810","1241","1008","4006","1851","7573","3242","8955","2978","2726","978","2631","1205","3748","1265","4222","1910","1973","2569","2037","4970","2102","4018","2744","7178","3829","9424","1232","3853","829","2524","782","2031","1030","1102","475","312","313","0","244","0","0","0","0","0","0","20210703"
"202105","공항철도 1호선","인천공항1터미널","0","0","677","2079","1566","5211","3240","10805","5406","16525","4349","4640","1525","5324","2596","5936","2827","7610","3738","4657","4350","4404","7072","4507","6453","4338","10968","6809","15245","2904","6285","1755","4872","2280","4439","1662","2914","967","539","657","3","387","4","0","0","0","0","0","20210603"
"202105","공항철도 1호선","인천공항2터미널","0","0","730","1274","1195","3989","1697","7053","3425","8429","2885","2549","1015","2225","1149","3675","1184","4034","1812","1866","2507","1744","4850","1983","3997","2586","6733","3774","8813","1166","3757","734","2340","683","2099","944","971","333","257","280","0","247","0","0","0","0","0","0","20210603"
"202104","공항철도 1호선","인천공항1터미널","0","0","628","2069","1585","5024","3129","11126","5369","17142","4474","4620","1539","5071","2422","5738","2524","7005","3623","4243","4159","3889","7141","4137","6191","3841","11016","6433","15483","2813","5888","1733","4652","2234","3844","1699","2641","973","574","633","4","422","0","0","0","0","0","0","20210503"
"202104","공항철도 1호선","인천공항2터미널","0","0","792","1143","1209","3809","1559","7358","3068","8604","2876","2656","1020","2160","1170","3577","1229","4111","1894","1878","2403","1709","4805","1906","4016","2328","6952","3648","9085","1231","3732","688","2303","586","1999","904","989","263","214","247","1","223","0","0","0","0","0","0","20210503"
"202103","공항철도 1호선","인천공항1터미널","0","0","928","2191","1644","5196","3089","11576","5483","18119","4724","4646","1619","5269","2506","6090","2579","7526","3858","4514","4510","4381","7370","4581","6610","4247","11513","6601","16471","2918","6371","1894","4656","2486","4276","1860","2791","972","589","557","3","421","0","0","0","0","0","0","20210403"
"202103","공항철도 1호선","인천공항2터미널","0","0","758","1377","1348","3867","1402","7180","3223","8682","3014","2677","974","2199","1338","3618","1398","4347","2084","1964","2717","1962","5115","2027","4045","2338","6767","3690","9457","1231","3760","694","2219","656","2173","948","1098","259","221","261","0","263","0","0","0","0","0","0","20210403"
"202102","공항철도 1호선","인천공항1터미널","5","1","675","2129","1402","4444","2697","9703","4917","16001","4399","4159","1483","4503","2565","6165","2568","7009","3773","4771","4160","4619","7159","4702","5824","4125","9888","6073","14543","2587","6554","1732","4694","2160","4842","1692","2487","919","566","514","3","284","0","0","0","0","0","0","20210303"
"202102","공항철도 1호선","인천공항2터미널","1","0","568","1149","1139","3147","1210","6466","2992","7402","2964","2454","870","1848","1138","3787","1180","3247","1848","1817","2414","1816","4598","1863","3381","2110","6018","3256","8048","1086","3471","646","2112","564","2073","829","1084","247","213","232","0","209","0","0","0","0","0","0","20210303"
"202101","공항철도 1호선","인천공항1터미널","0","0","665","2476","1704","5217","2996","10596","5466","17710","4682","4632","1550","4321","2527","6807","2405","6690","3682","4571","4446","4192","7432","4795","5705","4344","10586","6532","15847","2701","6513","1911","4433","2667","5274","1950","2602","963","524","513","3","266","0","0","0","0","0","0","20210203"
"202101","공항철도 1호선","인천공항2터미널","0","0","693","1386","1212","3719","1551","7518","3447","8377","3249","2706","932","2023","1169","4582","1170","3250","1987","2094","2434","1880","5024","1883","3510","2311","6689","3824","9071","1168","3650","739","2493","668","2430","1011","1245","375","213","176","0","146","0","0","0","0","0","0","20210203"
"202012","공항철도 1호선","인천공항1터미널","0","0","638","2321","1550","5071","2953","11031","5105","17105","4079","4659","1527","4603","2565","6441","2540","6779","3865","4499","4576","4271","7609","4816","6109","4227","10642","6279","14864","2834","5915","1825","4162","2696","5088","1892","2388","1032","537","526","4","271","0","0","0","0","0","0","20210103"
"202012","공항철도 1호선","인천공항2터미널","0","0","721","1281","1128","3769","1604","7185","3134","7823","2746","2874","824","1964","1055","4483","1184","3368","1780","1714","2381","1688","4747","1755","3638","2002","6177","3560","8451","1143","3849","752","2333","668","2423","962","1241","434","281","237","0","207","0","0","0","0","0","0","20210103"
"202011","공항철도 1호선","인천공항1터미널","2","3","664","2309","1541","5029","3075","11082","4998","17524","4288","4949","1723","5216","2883","6199","2946","7049","4250","4664","4891","4452","8218","4497","6451","4093","10894","6325","15844","2790","5870","1787","4159","2562","4787","1680","2629","967","422","632","5","338","0","0","0","0","0","0","20201203"
"202011","공항철도 1호선","인천공항2터미널","0","0","618","1302","1228","3599","1601","6956","3064","7946","2768","2662","737","1969","934","3919","1170","3637","1767","1704","2140","1659","4617","1663","3996","1923","6193","3420","8784","1066","3423","667","2289","650","2402","800","1218","300","287","193","0","262","0","0","0","0","0","0","20201203"
"202010","공항철도 1호선","인천공항1터미널","0","0","634","2388","1626","5247","3168","11708","5342","17977","4579","5300","1863","5737","2748","7387","2862","7868","4425","5379","5264","5051","8537","4660","7392","4373","12098","6584","16784","2751","6452","1862","4769","2639","4934","1724","2704","988","496","640","6","372","0","0","0","0","0","0","20201103"
"202010","공항철도 1호선","인천공항2터미널","0","0","612","1330","1007","3702","1772","6707","3258","7811","2771","2782","742","2101","912","3936","1127","3669","1711","1773","2167","1777","4720","1679","4182","2118","6282","3465","8568","1077","3672","709","2311","642","2448","793","1225","379","268","171","0","237","0","0","0","0","0","0","20201103"
"202009","공항철도 1호선","인천공항1터미널","0","0","1204","2314","1471","6047","2953","11336","5343","16604","4304","5171","1847","3873","2415","6371","2285","5604","3842","4691","4508","4345","7038","3911","6022","4440","11639","5854","14744","2653","5590","2262","4393","2676","4583","1755","2561","957","467","519","2","320","0","0","0","0","0","0","20201003"
"202009","공항철도 1호선","인천공항2터미널","0","0","570","1283","956","4010","1700","5492","2804","8248","2629","2963","662","2242","940","3336","1269","3741","1793","1928","2154","1468","3896","1490","4117","2271","6014","3001","8768","1087","3566","606","2494","622","2246","734","1289","405","304","134","0","179","0","0","0","0","0","0","20201003"
"202008","공항철도 1호선","인천공항1터미널","0","0","734","2582","1691","6801","3440","12286","5515","18859","4641","5834","2041","4466","3591","6695","3715","6649","4997","6510","5466","6234","7421","4789","6859","5048","12485","6452","17641","2860","6847","2317","5206","2652","5254","2089","3058","1078","589","587","3","412","0","0","0","0","0","0","20200903"
"202008","공항철도 1호선","인천공항2터미널","0","0","611","1299","968","4372","1988","5907","3227","9449","3124","3018","918","2411","975","2287","1445","3745","2143","2153","2378","1942","3390","1950","3694","2439","6656","3287","10001","1195","3465","658","2574","633","2482","933","1472","464","324","165","0","227","0","0","0","0","0","0","20200903"
"202007","공항철도 1호선","인천공항1터미널","0","0","745","2664","1757","6911","3331","12938","5663","20998","4813","5825","2073","4723","3533","7340","3884","7125","5280","6275","5810","5774","7517","4657","6963","4959","13502","6775","20292","3120","6701","2445","4950","2393","5824","2098","3086","1354","663","705","2","424","0","0","0","0","0","0","20200803"
"202007","공항철도 1호선","인천공항2터미널","0","0","746","1430","936","4242","1874","6090","3185","9705","2905","2945","689","2024","946","2433","1538","3712","1908","1881","2255","1765","3130","1650","3634","2207","6736","3445","10267","1149","3390","629","2757","749","2551","928","1392","549","319","218","0","259","0","0","0","0","0","0","20200803"
"202006","공항철도 1호선","인천공항1터미널","7","0","669","2449","1641","5214","2711","12577","5535","19843","4352","5274","1614","4184","2505","6208","3168","6549","4696","4644","5182","4078","6576","3665","6514","4431","12165","6101","18924","2775","6777","1923","4953","2058","5610","1780","2740","1053","407","516","4","397","0","0","0","0","0","0","20200703"
"202006","공항철도 1호선","인천공항2터미널","0","0","682","1409","923","3484","1562","7675","2915","8992","2752","2337","800","1628","793","1987","1172","3386","1840","1712","2192","1473","2943","1584","3561","1904","6063","3257","10137","1025","3505","614","2742","592","2480","1006","1346","473","291","200","0","233","0","0","0","0","0","0","20200703"
"202005","공항철도 1호선","인천공항1터미널","0","0","679","2760","1792","5422","2738","11808","5915","19381","4279","4822","1489","4194","2262","6450","3248","6509","4754","4311","5053","3909","6880","3382","6164","4182","11725","6151","18117","2538","6628","1944","4495","1918","5364","1486","2626","807","348","497","4","374","0","0","0","0","0","0","20200603"
"202005","공항철도 1호선","인천공항2터미널","0","0","591","1515","1072","3292","1472","7105","3403","8816","2723","2063","742","1544","771","1942","1054","3343","1787","1668","1917","1250","2772","1364","3073","1629","6129","3267","9622","1087","3466","618","3000","540","2853","905","1420","328","308","189","0","245","0","0","0","0","0","0","20200603"
"202004","공항철도 1호선","인천공항1터미널","0","0","657","2970","1724","5208","2539","11344","5431","19952","4488","4450","1755","3770","1867","5729","2613","6099","4409","3865","4238","3275","6398","2970","5351","3792","11179","5659","18079","2155","6425","1666","4125","1877","5359","1371","2819","828","386","398","3","321","0","0","0","0","0","0","20200503"
"202004","공항철도 1호선","인천공항2터미널","0","0","551","1590","1108","3604","1588","7627","3295","8273","2482","2083","751","1524","734","2093","1199","3511","1718","1811","1911","1315","3024","1161","3102","1644","6520","3159","9846","1208","3800","518","3003","583","3119","903","1746","252","287","172","0","272","0","0","0","0","0","0","20200503"
"202003","공항철도 1호선","인천공항1터미널","0","0","2063","5057","3166","6877","4099","12926","6956","19961","6055","6793","2842","4976","3247","7998","3856","9850","5503","6429","6350","5304","9514","4660","7177","5595","12092","6696","18858","3764","8635","2935","6427","3487","8817","2806","6911","1396","1646","735","4","657","0","0","0","0","0","0","20200403"
"202003","공항철도 1호선","인천공항2터미널","0","0","1558","2477","1677","4317","2092","8376","3917","8145","4084","3169","1538","2503","1503","3365","2060","4924","2128","2508","3117","1794","4575","2106","4286","2603","7609","3716","11038","2020","4924","778","4778","796","4842","1214","2573","344","534","272","0","312","0","0","0","0","0","0","20200403"
"202002","공항철도 1호선","인천공항1터미널","0","0","7937","7252","9687","12040","10861","23672","13283","30045","13036","15556","11009","13343","13586","19143","12710","27447","17373","23117","22011","21115","27242","14569","22681","19060","26072","16552","29304","14771","16082","13015","16087","12310","18523","8041","21883","5527","9809","3848","26","4371","0","0","0","0","0","0","20200303"
"202002","공항철도 1호선","인천공항2터미널","0","0","4053","3178","4015","5583","4635","10761","5805","10619","6070","5616","2351","6181","3766","6772","6178","8767","4463","5788","6153","4861","8308","6836","9021","6552","13220","7446","15336","4643","7231","2371","7550","1697","7154","1893","5106","970","1518","642","0","546","0","0","0","0","0","0","20200303"
"202001","공항철도 1호선","인천공항1터미널","0","0","11551","9021","14844","17909","18434","35664","21011","40712","20055","26667","16763","22684","20259","30912","23538","39807","27614","33325","30884","33656","39132","23633","34910","30659","36868","27311","40905","26267","26367","24860","25089","21480","29352","13236","31422","9731","17358","7377","276","8501","49","57","0","0","0","0","20200203"
"202001","공항철도 1호선","인천공항2터미널","0","0","4880","3984","6470","8043","7022","14978","7405","14108","8008","8751","3742","9521","5659","10852","9050","12654","6562","9308","9108","8153","12136","10369","13788","9215","18572","10997","21581","6652","10589","3380","9532","2616","9683","2714","6963","1373","3302","966","7","884","2","6","0","0","0","0","20200203"
"201912","공항철도 1호선","인천공항1터미널","0","0","12589","8527","15602","18067","18932","38172","22868","42747","21159","28545","18681","23968","22389","31751","25809","40374","29116","34321","33094","36785","41172","25646","38012","32598","39122","29587","41603","27791","27656","25883","27349","21274","28930","13381","30240","10012","18126","7203","49","8617","0","0","0","0","0","0","20200103"
"201912","공항철도 1호선","인천공항2터미널","0","0","5197","3926","6374","7785","6605","15200","7737","14891","8364","9087","4366","9229","5642","10646","10164","13337","6937","9627","9300","8529","11909","10888","14424","10224","20063","11710","21718","6971","10579","3659","10234","2505","10261","2672","6502","1441","3279","995","2","959","0","0","0","0","0","0","20200103"
"201911","공항철도 1호선","인천공항1터미널","0","0","12301","7792","16265","17720","19014","36362","21537","42183","20219","27963","18359","23619","22287","30217","24681","37667","28837","32362","32370","33209","37422","23874","36642","31080","38741","28477","39521","25524","23427","24093","23938","20232","28048","12127","29431","8963","15373","6150","20","6723","0","0","0","0","0","0","20191203"
"201911","공항철도 1호선","인천공항2터미널","0","0","5729","3624","6440","7743","6481","15138","7549","13940","8224","8084","3797","9146","5336","10052","9355","12054","5879","8437","8547","7726","10765","9957","13687","9608","19693","11266","21314","6681","9989","3882","9651","2423","9110","2611","6262","1285","2626","876","3","865","0","0","0","0","0","0","20191203"
"201910","공항철도 1호선","인천공항1터미널","0","0","17149","7972","18152","18432","22310","38326","22777","43518","21349","28001","21000","24729","22079","34221","27351","39613","30827","33076","35482","34183","40835","24026","39418","32422","40682","29785","40396","27502","27209","25201","24448","20974","30237","13125","29952","10520","14298","7549","33","8479","0","0","0","0","0","0","20191103"
