터미널,주차장,구역,체크인카운터,소요시간(분),상세시간(초)
T1,단기주차장지하2층,A구역,A,08:02,491
T1,단기주차장지하2층,A구역,B,06:09,413
T1,단기주차장지하2층,A구역,C,07:01,423
T1,단기주차장지하2층,A구역,D,07:03,437
T1,단기주차장지하2층,A구역,E,05:01,304
T1,단기주차장지하2층,A구역,F,05:05,331
T1,단기주차장지하2층,A구역,G,06:03,376
T1,단기주차장지하2층,A구역,H,07:07,462
T1,단기주차장지하2층,A구역,J,08:04,506
T1,단기주차장지하2층,A구역,K,08:08,528
T1,단기주차장지하2층,A구역,L,09:06,576
T1,단기주차장지하2층,A구역,M,10:04,624
T1,단기주차장지하2층,A구역,N,11:00,660
T1,단기주차장지하2층,H구역,A,11:08,705
T1,단기주차장지하2층,H구역,B,11:02,670
T1,단기주차장지하2층,H구역,C,10:05,629
T1,단기주차장지하2층,H구역,D,09:08,587
T1,단기주차장지하2층,H구역,E,09:02,552
T1,단기주차장지하2층,H구역,F,08:05,510
T1,단기주차장지하2층,H구역,G,07:08,466
T1,단기주차장지하2층,H구역,H,06:05,387
T1,단기주차장지하2층,H구역,J,05:08,350
T1,단기주차장지하2층,H구역,K,03:06,215
T1,단기주차장지하2층,H구역,L,04:09,292
T1,단기주차장지하2층,H구역,M,05:05,327
T1,단기주차장지하2층,H구역,N,05:08,348
T2,단기주차장지상1층,서편,A,06:00,357
T2,단기주차장지상1층,서편,B,05:09,355
T2,단기주차장지상1층,서편,C,06:06,398
T2,단기주차장지상1층,서편,D,07:01,425
T2,단기주차장지상1층,서편,E,08:01,485
T2,단기주차장지상1층,서편,F,08:09,533
T2,단기주차장지상1층,서편,G,09:05,572
T2,단기주차장지상1층,서편,H,10:03,615
T2,단기주차장지상1층,동편,A,08:00,482
T2,단기주차장지상1층,동편,B,07:02,434
T2,단기주차장지상1층,동편,C,06:04,386
T2,단기주차장지상1층,동편,D,05:06,338
T2,단기주차장지상1층,동편,E,04:08,290
T2,단기주차장상1층,동편,F,04:07,280
T2,단기주차장지상1층,동편,G,04:03,256
T2,단기주차장지상1층,동편,H,04:05,268